"L0",,,,,,,,,,"L1",,,,,,,,,"L2",,,,,,,,,"L3",,,,,,,,,"L4",,,,,,,,,"L5",,,,,,,,,"L6",,,,,,,,,"L7",,,,,,,,,"L8",,,,,,,,,"L9",,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange"
0,-49.5713,12.5244,-0.0957713,0.220504,-0.121757,0.184951,-3.0172e-05,-0.000373702,-0.000400474,-49.701,9.748,-0.0997948,0.194907,-0.119426,0.189265,-5.84164e-05,-0.000487775,-0.000536488,-49.8137,6.14231,-0.0764092,0.161245,-0.116586,0.193566,-2.69584e-05,-0.00072958,-0.000624349,-49.7642,2.70179,-0.0612951,0.130906,-0.113016,0.199102,0.000175439,-0.00103344,-0.000587814,-49.5496,-0.737501,-0.0570428,0.101344,-0.111796,0.202767,0.00065887,-0.00150539,-0.000396654,-49.6803,-4.19689,-0.0532419,0.0710521,-0.104652,0.203911,0.00115279,-0.00193965,0.000193489,-49.9989,-6.67412,-0.0579305,0.0507166,-0.0962021,0.207728,0.0012131,-0.001921,0.000872845,47.8027,-10.1407,-0.0714249,0.178684,-0.0435693,0.192976,-0.000935884,0.000469849,7.9776e-05,-49.6126,-11.4461,-0.0759434,0.0123066,-0.0889713,0.211487,0.00122319,-0.00186393,0.0018882,-49.9487,-14.0822,-0.0758731,-0.00495708,-0.084942,0.209235,0.000616758,-0.00128373,0.0026528
1,-49.059,12.5184,-0.096109,0.220507,-0.127279,0.18581,-8.94641e-05,-0.000379149,-0.000454811,-49.1875,9.7414,-0.096048,0.194836,-0.12511,0.190042,-9.85393e-05,-0.000492722,-0.0006091,-49.3014,6.13966,-0.0730602,0.161221,-0.121915,0.193865,-2.53938e-05,-0.000749694,-0.000723272,-49.2514,2.70122,-0.0580405,0.130895,-0.118321,0.199766,0.000215309,-0.00109217,-0.000717449,-49.0397,-0.738611,-0.0556185,0.101474,-0.116608,0.2028,0.000716133,-0.00160067,-0.00056642,-49.17,-4.19362,-0.0531,0.0719634,-0.109024,0.205726,0.00125396,-0.0021107,-2.55142e-05,-49.4877,-6.67654,-0.0577032,0.0514469,-0.0996961,0.209245,0.00140222,-0.00218864,0.000644362,47.3338,-10.1358,-0.0696598,0.178997,-0.0467116,0.193692,-0.000966545,0.000435547,4.95651e-05,-49.0991,-11.4501,-0.0743724,0.0130386,-0.090778,0.21395,0.00165229,-0.00235131,0.00160869,-49.4333,-14.0822,-0.0747289,-0.00490183,-0.0856438,0.212301,0.00120419,-0.00191299,0.00241477
2,-48.5477,12.5123,-0.0980864,0.220333,-0.132857,0.186054,-0.000148779,-0.000377036,-0.000518225,-48.6747,9.7344,-0.0934974,0.194789,-0.130614,0.190958,-0.000138265,-0.000492218,-0.00069275,-48.7899,6.13657,-0.0708709,0.16111,-0.127149,0.194659,-2.69693e-05,-0.000766302,-0.000832721,-48.739,2.70054,-0.0552304,0.130824,-0.123735,0.199981,0.000251691,-0.00114632,-0.000853499,-48.53,-0.739792,-0.0541874,0.10165,-0.121442,0.202945,0.000772628,-0.00169267,-0.00073865,-48.6599,-4.19053,-0.0533186,0.0729672,-0.113443,0.207642,0.00135351,-0.00227561,-0.000249196,-48.976,-6.67852,-0.0550889,0.0522365,-0.103235,0.210792,0.00158102,-0.0024379,0.000388244,46.8646,-10.1314,-0.0682061,0.179213,-0.0497019,0.19401,-0.000975357,0.000387362,8.80266e-06,-48.5852,-11.4539,-0.0713046,0.0139563,-0.0926682,0.216461,0.00205325,-0.00280958,0.00128703,-48.918,-14.0825,-0.0734826,-0.00473519,-0.0862553,0.215473,0.00178106,-0.00253476,0.00213054
3,-48.0358,12.5065,-0.0979643,0.220075,-0.138531,0.18601,-0.00020619,-0.000370675,-0.000584603,-48.1625,9.7274,-0.0919223,0.194554,-0.136099,0.191542,-0.000176796,-0.000490042,-0.000778426,-48.2785,6.13327,-0.0688432,0.16097,-0.132401,0.195423,-2.94064e-05,-0.000781606,-0.000943833,-48.2271,2.69993,-0.0532311,0.130845,-0.129219,0.200144,0.000284039,-0.00119569,-0.000994085,-48.0204,-0.742007,-0.0520493,0.102212,-0.126424,0.204275,0.000824735,-0.00177215,-0.000920862,-48.149,-4.18736,-0.0501311,0.0738662,-0.118051,0.208849,0.00144407,-0.00241613,-0.000488221,-48.4643,-6.68081,-0.0519875,0.0530999,-0.107148,0.212283,0.00174992,-0.00267105,0.00011819,46.3951,-10.1272,-0.0677335,0.179468,-0.0526472,0.19432,-0.000976657,0.000334583,-3.66038e-05,-48.071,-11.4574,-0.0664867,0.0150866,-0.0946533,0.219023,0.00242198,-0.00323457,0.000917227,-48.4032,-14.0848,-0.0722308,-0.00448383,-0.0867185,0.217869,0.00224972,-0.00306678,0.00170469
4,-47.5234,12.5011,-0.0957555,0.219734,-0.144299,0.18568,-0.000261712,-0.00036009,-0.000653925,-47.6511,9.72041,-0.0919971,0.193998,-0.14155,0.191567,-0.000213312,-0.000485037,-0.000867523,-47.7677,6.12939,-0.0672128,0.160762,-0.137699,0.196116,-3.39199e-05,-0.000793717,-0.00105909,-47.7157,2.69936,-0.0519616,0.130949,-0.134766,0.200261,0.000312789,-0.00124082,-0.0011387,-47.5106,-0.744206,-0.048849,0.102775,-0.131526,0.20563,0.000873929,-0.00184682,-0.001106,-47.6382,-4.18424,-0.0468376,0.0747814,-0.122754,0.209986,0.0015317,-0.00255023,-0.000730255,-47.9527,-6.68341,-0.0483596,0.0540437,-0.111467,0.213715,0.00190808,-0.00288674,-0.000166972,45.925,-10.1236,-0.0693384,0.179808,-0.0554968,0.194612,-0.000961874,0.000272016,-9.19741e-05,-47.5579,-11.4608,-0.0641619,0.0163099,-0.0970259,0.221244,0.0027371,-0.00359784,0.000505223,-47.8885,-14.0873,-0.0710503,-0.00399024,-0.0872497,0.220383,0.00269028,-0.00356634,0.00125581
5,-47.0107,12.4958,-0.0916794,0.219472,-0.150001,0.185862,-0.000316548,-0.000345037,-0.000725255,-47.1393,9.71361,-0.0902095,0.193375,-0.147179,0.191285,-0.000250917,-0.00047736,-0.00095799,-47.2566,6.1259,-0.0641892,0.160533,-0.143252,0.196348,-4.2057e-05,-0.000802504,-0.00117632,-47.2039,2.69947,-0.0488185,0.131087,-0.140486,0.200474,0.000333236,-0.00127732,-0.00128854,-47.0003,-0.746367,-0.0434759,0.103344,-0.136875,0.207032,0.000917168,-0.0019117,-0.00129717,-47.1277,-4.18137,-0.0433613,0.0757615,-0.127765,0.21092,0.00161026,-0.00266434,-0.000982177,-47.4416,-6.68564,-0.0454363,0.0550777,-0.116038,0.214503,0.00204929,-0.00307463,-0.000468065,45.4546,-10.1191,-0.0720397,0.18016,-0.0582368,0.195312,-0.000934367,0.000198931,-0.000154993,-47.0453,-11.4642,-0.0628246,0.0175702,-0.0995487,0.223332,0.00303129,-0.003937,7.65109e-05,-47.3742,-14.0899,-0.0701472,-0.00250452,-0.088117,0.223609,0.00304378,-0.00395543,0.000750977
6,-46.4978,12.4906,-0.0869865,0.219236,-0.155681,0.186216,-0.000371158,-0.000328498,-0.000797248,-46.6273,9.70693,-0.0872838,0.19271,-0.152918,0.190815,-0.000289188,-0.000468049,-0.0010493,-46.7452,6.12276,-0.0599444,0.160284,-0.14903,0.196176,-5.33791e-05,-0.00080837,-0.00129526,-46.6921,2.69976,-0.0451962,0.131238,-0.146258,0.20072,0.000351047,-0.00131103,-0.00143992,-46.49,-0.748725,-0.0373887,0.103712,-0.142385,0.207969,0.000954349,-0.00196774,-0.00149103,-46.6173,-4.17861,-0.0394634,0.0766478,-0.132873,0.211704,0.00168155,-0.00276545,-0.00123751,-46.9307,-6.68772,-0.0427829,0.0561464,-0.120706,0.215046,0.00218404,-0.00325193,-0.000775261,44.9839,-10.1139,-0.0755877,0.180522,-0.0608935,0.196324,-0.000897034,0.000117731,-0.000223884,-46.5334,-11.4686,-0.0621431,0.0191303,-0.102732,0.224283,0.00324101,-0.00418562,-0.000386725,-46.8599,-14.0922,-0.0684372,-0.00065594,-0.0892574,0.226801,0.0033427,-0.00428251,0.000228207
7,-45.9853,12.4852,-0.0818077,0.219298,-0.161175,0.187858,-0.000423236,-0.000308518,-0.00087225,-46.1154,9.70056,-0.0837845,0.192286,-0.158819,0.190886,-0.000328104,-0.000454862,-0.00114366,-46.2348,6.12001,-0.0573201,0.160205,-0.154929,0.196285,-6.87503e-05,-0.000808754,-0.00141713,-46.1818,2.69973,-0.0446114,0.131482,-0.152118,0.201252,0.000359908,-0.00133343,-0.00159501,-45.9798,-0.751258,-0.0307564,0.103927,-0.148018,0.208551,0.000986906,-0.00201704,-0.00168694,-46.1069,-4.17596,-0.0350715,0.0774282,-0.138087,0.212317,0.00174466,-0.00285192,-0.00149673,-46.4208,-6.68875,-0.0418507,0.0571706,-0.126219,0.215143,0.00229081,-0.00338966,-0.00109558,44.5137,-10.1079,-0.0747518,0.181162,-0.0638202,0.19713,-0.000838355,1.7696e-05,-0.000300106,-46.0215,-11.4731,-0.0612497,0.0209887,-0.10619,0.225247,0.00342819,-0.00441098,-0.000854992,-46.3454,-14.0942,-0.0657411,0.00163654,-0.0907325,0.229948,0.00357491,-0.00453379,-0.000316437
8,-45.4733,12.4797,-0.0779962,0.21923,-0.166803,0.189401,-0.00047522,-0.000287828,-0.000948095,-45.6037,9.6944,-0.0803957,0.191932,-0.164766,0.191187,-0.00036726,-0.00044055,-0.00123893,-45.7246,6.11739,-0.0551622,0.160176,-0.160863,0.196491,-8.53971e-05,-0.000807421,-0.0015399,-45.6715,2.69953,-0.0436805,0.131686,-0.15802,0.201676,0.000366404,-0.00135296,-0.00175068,-45.4741,-0.753721,-0.0366143,0.103988,-0.153772,0.208295,0.00100966,-0.00205326,-0.00188524,-45.5981,-4.17319,-0.0343849,0.0781847,-0.143474,0.21262,0.00179394,-0.00291796,-0.00175853,-45.9111,-6.68994,-0.0412202,0.0582088,-0.13175,0.215227,0.00238943,-0.00351689,-0.0014176,44.0436,-10.1017,-0.0725131,0.181867,-0.0667908,0.197893,-0.000772934,-8.83314e-05,-0.000378138,-45.5096,-11.4782,-0.059505,0.0238708,-0.110562,0.226386,0.00354455,-0.00456366,-0.00133664,-45.8304,-14.0956,-0.060476,0.00443655,-0.0925596,0.232411,0.00372193,-0.00470221,-0.000876589
9,-44.9631,12.4743,-0.0782491,0.218777,-0.17283,0.190651,-0.000526914,-0.000265029,-0.00102647,-45.0929,9.68949,-0.0784575,0.191838,-0.170866,0.192593,-0.000407489,-0.000422184,-0.00133745,-45.2148,6.11451,-0.0530334,0.160255,-0.166861,0.197435,-0.000106391,-0.000800139,-0.0016657,-45.1611,2.69889,-0.0418185,0.131781,-0.164037,0.201811,0.000366517,-0.00136475,-0.00190801,-44.9696,-0.756208,-0.0454576,0.104028,-0.159569,0.207847,0.00102935,-0.00208555,-0.00208418,-45.0899,-4.17036,-0.0352195,0.0789297,-0.148931,0.212796,0.00183753,-0.00297564,-0.00202125,-45.4021,-6.6919,-0.0415046,0.0593039,-0.137244,0.215319,0.002461,-0.00360975,-0.00174426,43.5742,-10.0961,-0.0640329,0.18254,-0.0694209,0.198768,-0.000679098,-0.000220321,-0.000458734,-44.9976,-11.4833,-0.0566374,0.0268733,-0.115346,0.227379,0.0036203,-0.00467399,-0.00181655,-45.3151,-14.0967,-0.0541345,0.00744688,-0.0945301,0.234593,0.00383356,-0.00483617,-0.00144325
