,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.5713,12.5244,-0.0957713,0.373316,-0.274083,0.181957,-7.07783e-05,-0.000617657,-0.000762396,92,0
1,-49.059,12.5184,-0.096109,0.372899,-0.286806,0.182986,-0.000159005,-0.00060352,-0.000920739,92,0
2,-48.5477,12.5123,-0.0980864,0.372494,-0.299782,0.184023,-0.000256335,-0.000582981,-0.00109405,92,0
3,-48.0358,12.5065,-0.0979643,0.372064,-0.312943,0.185147,-0.0003539,-0.000559189,-0.00127329,92,0
4,-47.5234,12.5011,-0.0957555,0.37161,-0.326287,0.186358,-0.000451701,-0.000532164,-0.00145842,92,0
5,-47.0107,12.4958,-0.0916794,0.371179,-0.33958,0.18794,-0.000553368,-0.000500888,-0.00164892,92,0
6,-46.4978,12.4906,-0.0869865,0.370756,-0.352855,0.189647,-0.000656328,-0.000468198,-0.00184119,92,0
7,-45.9853,12.4852,-0.0818077,0.37059,-0.36582,0.192742,-0.000764064,-0.000430646,-0.00203898,92,0
8,-45.4733,12.4797,-0.0779962,0.370257,-0.379027,0.195497,-0.000873937,-0.000391218,-0.0022378,92,0
9,-44.9631,12.4743,-0.0782491,0.369428,-0.392957,0.19724,-0.000990171,-0.000346201,-0.00243974,92,0
10,-44.4532,12.4689,-0.0789472,0.368384,-0.407092,0.198505,-0.00111424,-0.000296565,-0.00264288,92,0
11,-43.9436,12.4636,-0.080088,0.367124,-0.421429,0.199295,-0.00124613,-0.000242327,-0.00284723,92,0
12,-43.4342,12.4582,-0.0805285,0.365802,-0.436383,0.199892,-0.00138413,-0.000182208,-0.00304881,92,0
13,-42.9247,12.4529,-0.0807341,0.364458,-0.451542,0.200427,-0.00152418,-0.000120125,-0.00324946,92,0
14,-42.4142,12.447,-0.0765383,0.363242,-0.466933,0.201834,-0.0016711,-4.62863e-05,-0.00345693,92,0
15,-41.9038,12.441,-0.0722978,0.361957,-0.482331,0.203269,-0.00182133,3.05062e-05,-0.00366445,92,0
16,-41.3937,12.4352,-0.0679142,0.360469,-0.497749,0.20479,-0.00198151,0.00011614,-0.0038722,92,0
17,-40.884,12.4296,-0.0640757,0.359046,-0.513213,0.206486,-0.00215228,0.000208304,-0.00407886,92,0
18,-40.3746,12.4242,-0.0607808,0.357687,-0.528723,0.208358,-0.00233363,0.000306995,-0.00428444,92,0
19,-39.8658,12.4189,-0.0581459,0.356323,-0.544398,0.210133,-0.00252742,0.000414947,-0.00449038,92,0
20,-39.3572,12.4135,-0.0557287,0.354957,-0.560129,0.211876,-0.00272538,0.000525991,-0.00469643,92,0
21,-38.8493,12.4081,-0.0542439,0.353553,-0.576306,0.212938,-0.00293046,0.000647338,-0.00489909,92,0
22,-38.3415,12.4027,-0.0525425,0.351969,-0.592589,0.214084,-0.00313739,0.000770704,-0.00509968,92,0
23,-37.8337,12.3973,-0.0501839,0.349846,-0.609189,0.215485,-0.00334987,0.000900117,-0.00529412,92,0
24,-37.326,12.3919,-0.047315,0.347441,-0.626035,0.216827,-0.00356869,0.00103369,-0.0054841,92,0
25,-36.8183,12.3867,-0.0439337,0.344754,-0.643129,0.218109,-0.00379389,0.00117144,-0.00566961,92,0
26,-36.3109,12.3812,-0.0403972,0.342088,-0.660305,0.220357,-0.0040305,0.0013133,-0.00585076,92,0
27,-35.8036,12.3756,-0.0368103,0.339429,-0.677508,0.222928,-0.00427095,0.00145655,-0.00603044,92,0
28,-35.2979,12.3697,-0.0369033,0.336893,-0.695246,0.225614,-0.00451954,0.00160262,-0.00620664,92,0
29,-34.792,12.3638,-0.0361414,0.33416,-0.713058,0.227804,-0.00476925,0.00174869,-0.00638197,92,0
30,-34.2857,12.3579,-0.0327838,0.33083,-0.731095,0.228495,-0.00502234,0.00189472,-0.00655473,92,0
31,-33.7793,12.3521,-0.0288641,0.327278,-0.749116,0.229079,-0.00527893,0.00204147,-0.00672364,92,0
32,-33.273,12.3463,-0.0243813,0.323502,-0.767122,0.229558,-0.00553906,0.00218895,-0.00688868,92,0
33,-32.7672,12.3407,-0.020749,0.319938,-0.785276,0.231292,-0.00580305,0.00233629,-0.00704665,92,0
34,-32.2617,12.3352,-0.0174033,0.316445,-0.80348,0.23345,-0.00606835,0.00248358,-0.00720223,92,0
35,-31.758,12.3298,-0.0187913,0.313108,-0.821802,0.237597,-0.00632907,0.0026283,-0.00735396,92,0
36,-31.2544,12.3245,-0.0199194,0.309672,-0.840163,0.241599,-0.00658807,0.00277237,-0.00750528,92,0
37,-30.7508,12.3194,-0.0202284,0.305933,-0.858641,0.245149,-0.00684184,0.00291447,-0.00765541,92,0
38,-30.2473,12.3143,-0.0199921,0.30199,-0.877113,0.248157,-0.00709851,0.00305628,-0.00780413,92,0
39,-29.7437,12.3092,-0.0192068,0.297843,-0.89558,0.250619,-0.00735812,0.00319781,-0.00795141,92,0
40,-29.2406,12.3041,-0.0185668,0.29344,-0.91399,0.252839,-0.00762235,0.00334021,-0.00809536,92,0
41,-28.7375,12.299,-0.0179756,0.288949,-0.932381,0.254979,-0.00788817,0.00348291,-0.00823818,92,0
42,-28.2344,12.2933,-0.0158345,0.284297,-0.95087,0.257144,-0.00814557,0.00362619,-0.00837808,92,0
43,-27.7314,12.2877,-0.0137754,0.279507,-0.969512,0.259437,-0.00840025,0.00376886,-0.00851876,92,0
44,-27.2288,12.2822,-0.0119845,0.2743,-0.988624,0.262116,-0.00864666,0.00390963,-0.00866186,92,0
45,-26.7265,12.2767,-0.0104699,0.269007,-1.00775,0.265109,-0.0088925,0.00404928,-0.00880653,92,0
46,-26.2245,12.2713,-0.00923613,0.263625,-1.02691,0.268418,-0.00913776,0.00418782,-0.00895277,92,0
47,-25.7228,12.2659,-0.00808223,0.258117,-1.04613,0.27141,-0.00938089,0.0043232,-0.00909998,92,0
48,-25.2212,12.2604,-0.00695603,0.252566,-1.06539,0.274294,-0.00962331,0.00445752,-0.00924752,92,0
49,-24.7205,12.2543,-0.00748662,0.247338,-1.0849,0.278442,-0.0098547,0.00458355,-0.00939388,92,0
50,-24.2198,12.2483,-0.00743941,0.241989,-1.10441,0.282498,-0.0100818,0.00470568,-0.00954192,92,0
51,-23.7188,12.2427,-0.00560605,0.236268,-1.12387,0.286258,-0.010296,0.00481592,-0.00969517,92,0
52,-23.2179,12.2372,-0.00327614,0.230298,-1.14333,0.289745,-0.0104993,0.00491751,-0.00985611,92,0
53,-22.717,12.232,-0.000442392,0.224076,-1.16279,0.292954,-0.0106914,0.00501031,-0.0100248,92,0
54,-22.2166,12.2265,0.00183152,0.217672,-1.18226,0.296643,-0.0108657,0.00508682,-0.0102095,92,0
55,-21.7163,12.2209,0.00391566,0.211206,-1.20175,0.300497,-0.0110339,0.00515781,-0.0103996,92,0
56,-21.2166,12.2152,0.00556011,0.204724,-1.22131,0.304945,-0.0111793,0.00520355,-0.0106143,92,0
57,-20.717,12.2095,0.00708882,0.19822,-1.24094,0.309447,-0.0113165,0.0052411,-0.0108355,92,0
58,-20.2178,12.204,0.00826519,0.191648,-1.26077,0.314104,-0.0114285,0.00525366,-0.011076,92,0
59,-19.7193,12.1987,0.00798704,0.185174,-1.28066,0.318786,-0.0115213,0.00524557,-0.0113299,92,0
60,-19.2213,12.1935,0.00622558,0.1788,-1.30061,0.323495,-0.0115948,0.00521645,-0.0115973,92,0
61,-18.7233,12.1883,0.00585346,0.172245,-1.32014,0.327785,-0.0116315,0.00514593,-0.0118863,92,0
62,-18.2252,12.1832,0.00595626,0.165627,-1.33951,0.331931,-0.0116558,0.00506128,-0.0121825,92,0
63,-17.7275,12.1778,0.00619273,0.158585,-1.358,0.33644,-0.0115998,0.00490972,-0.0125089,92,0
64,-17.2298,12.1724,0.00679366,0.151708,-1.37684,0.34117,-0.0115161,0.00473526,-0.0128419,92,0
65,-16.732,12.1668,0.0085219,0.14535,-1.3968,0.346579,-0.011348,0.00449107,-0.0131948,92,0
66,-16.2345,12.1611,0.01008,0.139027,-1.41698,0.352008,-0.0111167,0.00418742,-0.0135558,92,0
67,-15.7373,12.1553,0.0114635,0.13274,-1.43739,0.357457,-0.0108209,0.00382298,-0.0139252,92,0
68,-15.2403,12.1498,0.0129996,0.126644,-1.45839,0.362523,-0.0104163,0.00334917,-0.0142949,92,0
69,-14.7433,12.1443,0.0145872,0.120613,-1.47959,0.367457,-0.0099745,0.00283782,-0.0146648,92,0
70,-14.2467,12.1391,0.0165365,0.113908,-1.50038,0.372042,-0.00935731,0.00215648,-0.0149959,92,0
71,-13.7502,12.1338,0.0182413,0.107358,-1.52133,0.376995,-0.0086922,0.00142822,-0.0153016,92,0
72,-13.2543,12.1282,0.0191829,0.101303,-1.54276,0.383095,-0.00788165,0.000557515,-0.0155291,92,0
73,-12.7588,12.1226,0.0193046,0.0952768,-1.56417,0.389714,-0.00697516,-0.00040634,-0.0156737,92,0
74,-12.2637,12.1168,0.0185858,0.0892824,-1.58558,0.396865,-0.00597024,-0.00146575,-0.0157332,92,0
75,-11.7686,12.1111,0.0190095,0.0844717,-1.60607,0.404404,-0.00484453,-0.00264155,-0.0156255,92,0
76,-11.2734,12.1055,0.0198266,0.0800689,-1.62626,0.412077,-0.00367708,-0.00385755,-0.0154602,92,0
77,-10.7789,12.1003,0.019875,0.0776811,-1.64514,0.417982,-0.00241649,-0.00515694,-0.0150211,92,0
78,-10.2845,12.0951,0.0198885,0.0758777,-1.66392,0.423353,-0.00115313,-0.00646234,-0.0145031,92,0
79,-9.79035,12.0897,0.0198072,0.0758521,-1.68236,0.427096,0.0001167,-0.00778453,-0.0137446,92,0
80,-9.29652,12.0843,0.0193839,0.0765279,-1.70052,0.430768,0.00135409,-0.00907369,-0.0128191,92,0
81,-8.80299,12.0786,0.0186081,0.0779261,-1.71839,0.434368,0.00255812,-0.0103289,-0.0117218,92,0
82,-8.30975,12.073,0.0177675,0.0810974,-1.73477,0.438416,0.00365188,-0.0114628,-0.0103952,92,0
83,-7.81662,12.0673,0.016904,0.084883,-1.75062,0.442619,0.00470752,-0.0125548,-0.00898902,92,0
84,-7.32378,12.0621,0.0163744,0.0898644,-1.76293,0.444981,0.00552184,-0.0134014,-0.0073363,92,0
85,-6.83096,12.0569,0.0161003,0.0950572,-1.7736,0.447107,0.00626047,-0.0141695,-0.00563738,92,0
86,-6.33822,12.0516,0.0166153,0.100881,-1.7792,0.448536,0.00676781,-0.0146975,-0.00380009,92,0
87,-5.84578,12.0463,0.016725,0.107328,-1.78209,0.44931,0.00710366,-0.0150473,-0.00191629,92,0
88,-5.35364,12.041,0.0164155,0.114417,-1.78218,0.449406,0.00726249,-0.0152133,1.55696e-05,92,0
89,-4.86193,12.0354,0.0155729,0.121763,-1.77924,0.448401,0.00714688,-0.0151014,0.00194227,92,0
90,-4.37036,12.0298,0.0145428,0.129199,-1.77524,0.447012,0.00693577,-0.0148927,0.0038673,92,0
91,-3.87921,12.0239,0.0133457,0.135802,-1.76684,0.443994,0.00637105,-0.014324,0.00568344,92,0
92,-3.38799,12.0182,0.0128356,0.141789,-1.75716,0.440625,0.00572943,-0.0136776,0.00745078,92,0
93,-2.89648,12.0129,0.0144886,0.145862,-1.74356,0.436193,0.00485568,-0.0127971,0.00906755,92,0
94,-2.40514,12.0077,0.016224,0.149399,-1.72821,0.431424,0.00387564,-0.0117977,0.0105541,92,0
95,-1.91397,12.0023,0.0180448,0.152381,-1.71106,0.426307,0.00278552,-0.010675,0.0119058,92,0
96,-1.42313,11.9969,0.0197339,0.153395,-1.69329,0.421226,0.00160283,-0.00944031,0.0130257,92,0
97,-0.932395,11.9915,0.0213778,0.15372,-1.6753,0.416158,0.00038772,-0.00816645,0.0140645,92,0
98,-0.442362,11.9855,0.0217474,0.152311,-1.6564,0.410126,-0.00088309,-0.00683337,0.0147712,92,0
99,0.047538,11.9796,0.0219624,0.150513,-1.63709,0.403919,-0.00215052,-0.00550581,0.0153977,92,0
100,0.537033,11.974,0.0217262,0.147537,-1.61652,0.397184,-0.00340538,-0.00419767,0.0157811,92,0
101,1.02628,11.9684,0.0211981,0.144287,-1.59537,0.390845,-0.00460737,-0.00294039,0.0160297,92,0
