,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.9487,-14.0822,-0.0758731,0,0,0,-1.69628e-17,-9.42809e-18,-2.63978e-17,0.0,9
1,-49.4333,-14.0822,-0.0747289,0,0,0,-1.7179e-17,-7.99743e-18,-2.40783e-17,0.0,9
2,-48.918,-14.0825,-0.0734826,0,0,0,-1.72121e-17,-7.12833e-18,-2.1666e-17,0.0,9
3,-48.4032,-14.0848,-0.0722308,0,0,0,-1.80548e-17,-6.68555e-18,-1.93251e-17,0.0,9
4,-47.8885,-14.0873,-0.0710503,0,0,0,-1.88537e-17,-6.36972e-18,-1.69901e-17,0.0,9
5,-47.3742,-14.0899,-0.0701472,0,0,0,-1.92356e-17,-6.46301e-18,-1.46633e-17,0.0,9
6,-46.8599,-14.0922,-0.0684372,0,0,0,-1.97454e-17,-6.6229e-18,-1.23298e-17,0.0,9
7,-46.3454,-14.0942,-0.0657411,0,0,0,-2.04112e-17,-6.86252e-18,-9.98825e-18,0.0,9
8,-45.8304,-14.0956,-0.060476,0,0,0,-2.07161e-17,-7.46538e-18,-7.85297e-18,0.0,9
9,-45.3151,-14.0967,-0.0541345,0,0,0,-2.08718e-17,-8.21961e-18,-5.80179e-18,0.0,9
10,-44.8019,-14.0986,-0.0526225,0,0,0,-2.19273e-17,-9.02853e-18,-4.08796e-18,0.0,9
11,-44.289,-14.1004,-0.0516657,0,0,0,-2.26972e-17,-9.71247e-18,-2.44253e-18,0.0,9
12,-43.7768,-14.1017,-0.0520299,0,0,0,-2.23274e-17,-9.94763e-18,-9.99774e-19,0.0,9
13,-43.265,-14.1029,-0.0527064,0,0,0,-2.17855e-17,-1.07229e-17,2.71623e-20,0.0,9
14,-42.7535,-14.104,-0.0537223,0,0,0,-2.10536e-17,-1.20925e-17,5.95764e-19,0.0,9
15,-42.242,-14.1054,-0.0540058,0,0,0,-2.06233e-17,-1.34907e-17,1.65373e-18,0.0,9
16,-41.7306,-14.107,-0.0540261,0,0,0,-2.0303e-17,-1.48996e-17,2.89124e-18,0.0,9
17,-41.2191,-14.1095,-0.0522545,0,0,0,-2.11223e-17,-1.56716e-17,3.27405e-18,0.0,9
18,-40.7075,-14.112,-0.0501993,0,0,0,-2.15803e-17,-1.6594e-17,3.53383e-18,0.0,9
19,-40.196,-14.1145,-0.0473329,0,0,0,-2.08896e-17,-1.79991e-17,3.44193e-18,0.0,9
20,-39.6844,-14.1165,-0.0435472,0,0,0,-2.02177e-17,-1.9203e-17,3.43288e-18,0.0,9
21,-39.1727,-14.1182,-0.0388489,0,0,0,-1.95653e-17,-2.0209e-17,3.50585e-18,0.0,9
22,-38.662,-14.1204,-0.0360913,0,0,0,-1.90653e-17,-2.07843e-17,2.97375e-18,0.0,9
23,-38.1516,-14.1228,-0.0339573,0,0,0,-1.86118e-17,-2.12144e-17,2.24919e-18,0.0,9
24,-37.6417,-14.1258,-0.032119,0,0,0,-1.8047e-17,-2.11263e-17,1.55522e-18,0.0,9
25,-37.1318,-14.1287,-0.0298739,0,0,0,-1.78555e-17,-2.12405e-17,8.42813e-19,0.0,9
26,-36.6218,-14.1312,-0.0265248,0,0,0,-1.86654e-17,-2.18968e-17,8.41878e-20,0.0,9
27,-36.1123,-14.1333,-0.023638,0,0,0,-1.9248e-17,-2.19726e-17,-6.36344e-19,0.0,9
28,-35.603,-14.1351,-0.0211675,0,0,0,-1.96272e-17,-2.153e-17,-1.32315e-18,0.0,9
29,-35.0943,-14.137,-0.019471,0,0,0,-1.98489e-17,-2.14423e-17,-2.29233e-18,0.0,9
30,-34.5858,-14.1389,-0.0180295,0,0,0,-2.00309e-17,-2.1418e-17,-3.33415e-18,0.0,9
31,-34.078,-14.1411,-0.0175825,0,0,0,-2.02931e-17,-2.06185e-17,-4.24334e-18,0.0,9
32,-33.5705,-14.1432,-0.017534,0,0,0,-2.04219e-17,-1.96687e-17,-5.2175e-18,0.0,9
33,-33.0636,-14.1452,-0.0184213,0,0,0,-2.02357e-17,-1.83679e-17,-6.34246e-18,0.0,9
34,-32.5568,-14.147,-0.0193378,0,0,0,-2.0271e-17,-1.70805e-17,-7.34885e-18,0.0,9
35,-32.0503,-14.1487,-0.0202779,0,0,0,-2.04842e-17,-1.58031e-17,-8.26002e-18,0.0,9
36,-31.544,-14.1507,-0.0208585,0,0,0,-2.03276e-17,-1.46881e-17,-8.86777e-18,0.0,9
37,-31.0377,-14.1528,-0.021047,0,0,0,-2.01413e-17,-1.363e-17,-9.37945e-18,0.0,9
38,-30.5304,-14.155,-0.0169882,0,0,0,-2.07334e-17,-1.28387e-17,-9.53081e-18,0.0,9
39,-30.0234,-14.157,-0.0131565,0,0,0,-2.14649e-17,-1.18632e-17,-9.6676e-18,0.0,9
40,-29.5167,-14.1585,-0.00980317,0,0,0,-2.24855e-17,-1.05045e-17,-9.774e-18,0.0,9
41,-29.0109,-14.1599,-0.00817266,0,0,0,-2.27968e-17,-9.90897e-18,-9.95635e-18,0.0,9
42,-28.5055,-14.1612,-0.00778396,0,0,0,-2.25963e-17,-9.86469e-18,-1.01937e-17,0.0,9
43,-28.0008,-14.1631,-0.00805928,0,0,0,-2.19248e-17,-9.23996e-18,-1.04431e-17,0.0,9
44,-27.4961,-14.1651,-0.00834463,0,0,0,-2.13171e-17,-8.57324e-18,-1.06171e-17,0.0,9
45,-26.9915,-14.1676,-0.00748693,0,0,0,-2.22066e-17,-8.59283e-18,-1.00299e-17,0.0,9
46,-26.4871,-14.1701,-0.00665516,0,0,0,-2.29632e-17,-8.60494e-18,-9.53051e-18,0.0,9
47,-25.9829,-14.1724,-0.00586436,0,0,0,-2.34709e-17,-8.60244e-18,-9.19418e-18,0.0,9
48,-25.4788,-14.1746,-0.00480974,0,0,0,-2.4191e-17,-8.57377e-18,-8.56381e-18,0.0,9
49,-24.9749,-14.1768,-0.00358701,0,0,0,-2.50498e-17,-8.52894e-18,-7.7428e-18,0.0,9
50,-24.4714,-14.1789,-0.00237764,0,0,0,-2.51071e-17,-8.78357e-18,-6.95079e-18,0.0,9
51,-23.9679,-14.1808,-0.00122092,0,0,0,-2.5088e-17,-9.07949e-18,-6.18668e-18,0.0,9
52,-23.4649,-14.1825,-0.000408997,0,0,0,-2.5432e-17,-9.32709e-18,-5.60092e-18,0.0,9
53,-22.962,-14.1842,0.000738989,0,0,0,-2.59188e-17,-9.95015e-18,-5.11457e-18,0.0,9
54,-22.4591,-14.1858,0.00243897,0,0,0,-2.66415e-17,-1.11956e-17,-4.79293e-18,0.0,9
55,-21.9567,-14.1877,0.00363315,0,0,0,-2.64902e-17,-1.19645e-17,-4.23028e-18,0.0,9
56,-21.4545,-14.1899,0.00454369,0,0,0,-2.58306e-17,-1.24578e-17,-3.52744e-18,0.0,9
57,-20.953,-14.1924,0.00422928,0,0,0,-2.46331e-17,-1.28315e-17,-2.98598e-18,0.0,9
58,-20.4517,-14.1949,0.00362354,0,0,0,-2.33653e-17,-1.32781e-17,-2.49487e-18,0.0,9
59,-19.9509,-14.1966,0.00220166,0,0,0,-2.20899e-17,-1.42355e-17,-2.18308e-18,0.0,9
60,-19.4505,-14.1986,0.000224466,0,0,0,-2.0059e-17,-1.50506e-17,-1.95405e-18,0.0,9
61,-18.9506,-14.2007,-0.00256,0,0,0,-1.69058e-17,-1.56537e-17,-1.84864e-18,0.0,9
62,-18.4504,-14.2031,-0.00355107,0,0,0,-1.38633e-17,-1.60871e-17,-1.86668e-18,0.0,9
63,-17.95,-14.2054,-0.00360767,0,0,0,-1.08761e-17,-1.64333e-17,-1.94825e-18,0.0,9
64,-17.4491,-14.2078,-0.000365848,0,0,0,-8.68405e-18,-1.69438e-17,-1.66812e-18,0.0,9
65,-16.9481,-14.2101,0.00367653,0,0,0,-6.42877e-18,-1.73744e-17,-1.39053e-18,0.0,9
66,-16.4467,-14.2115,0.010056,0,0,0,-3.52821e-18,-1.73444e-17,-1.28648e-18,0.0,9
67,-15.946,-14.2131,0.0148031,0,0,0,-1.16416e-18,-1.72249e-17,-1.04989e-18,0.0,9
68,-15.4461,-14.215,0.0173662,0,0,0,4.8272e-19,-1.6986e-17,-6.36626e-19,0.0,9
69,-14.9464,-14.2169,0.0199907,0,0,0,1.08343e-18,-1.75108e-17,-1.71967e-19,0.0,9
70,-14.4469,-14.2189,0.0226505,0,0,0,1.2022e-18,-1.83876e-17,3.16808e-19,0.0,9
71,-13.9493,-14.2213,0.0198211,0,0,0,2.57006e-18,-1.8222e-17,8.27455e-19,0.0,9
72,-13.4519,-14.2238,0.0167095,0,0,0,3.52278e-18,-1.79111e-17,1.34361e-18,0.0,9
73,-12.9548,-14.2262,0.0138323,0,0,0,2.47947e-18,-1.72736e-17,1.87389e-18,0.0,9
74,-12.4576,-14.2286,0.011621,0,0,0,8.07574e-19,-1.69745e-17,2.27229e-18,0.0,9
