"L0",,,,,,,,,,"L1",,,,,,,,,"L2",,,,,,,,,"L3",,,,,,,,,"L4",,,,,,,,,"L5",,,,,,,,,"L6",,,,,,,,,"L7",,,,,,,,,"L8",,,,,,,,,"L9",,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange"
0,-49.5713,12.5244,-0.0957713,0.524298,-0.419943,0.194744,-3.85569e-05,-0.000879816,-0.001319,-49.701,9.748,-0.0997948,0.423921,-0.410259,0.210214,0.000131475,-0.00145723,-0.00188129,-49.8137,6.14231,-0.0764092,0.297064,-0.397759,0.22528,0.000624691,-0.0025154,-0.00226117,-49.7642,2.70179,-0.0612951,0.181924,-0.386273,0.243943,0.00163734,-0.00396222,-0.00224502,-49.5496,-0.737501,-0.0570428,0.0686742,-0.377366,0.259563,0.00330648,-0.00582501,-0.00155047,-49.6803,-4.19689,-0.0532419,-0.0448991,-0.346662,0.272398,0.00477297,-0.00731244,0.000720828,-49.9989,-6.67412,-0.0579305,-0.124616,-0.317275,0.282412,0.00468515,-0.00704974,0.00328026,47.8027,-10.1407,-0.0714249,0.462462,-0.0313874,0.205612,-0.00263483,0.00154148,0.000114307,-49.6126,-11.4461,-0.0759434,-0.272725,-0.287023,0.306573,0.00521811,-0.00676928,0.00748984,-49.9487,-14.0822,-0.0758731,-0.343774,-0.272608,0.299466,0.00317667,-0.00434893,0.0109352
1,-49.059,12.5184,-0.096109,0.523405,-0.440728,0.196535,-0.000152056,-0.000856056,-0.00159905,-49.1875,9.7414,-0.096048,0.423572,-0.430864,0.213644,6.66296e-05,-0.00146524,-0.00223839,-49.3014,6.13966,-0.0730602,0.296575,-0.417842,0.226428,0.000679022,-0.00259991,-0.00271183,-49.2514,2.70122,-0.0580405,0.182047,-0.406281,0.246183,0.00181938,-0.00416922,-0.00276537,-49.0397,-0.738611,-0.0556185,0.069815,-0.396206,0.261396,0.00359855,-0.00620029,-0.00218093,-49.17,-4.19362,-0.0531,-0.0421088,-0.363773,0.276648,0.0053247,-0.00798624,-6.45883e-05,-49.4877,-6.67654,-0.0577032,-0.12209,-0.330969,0.286994,0.00563574,-0.00809099,0.00249785,47.3338,-10.1358,-0.0696598,0.463487,-0.0450684,0.208535,-0.00269279,0.00142694,-4.71901e-05,-49.0991,-11.4501,-0.0743724,-0.271204,-0.294897,0.313496,0.00712499,-0.00865525,0.00656167,-49.4333,-14.0822,-0.0747289,-0.343008,-0.276124,0.311649,0.00570798,-0.00680401,0.0102045
2,-48.5477,12.5123,-0.0980864,0.522446,-0.461827,0.198078,-0.000284211,-0.000819345,-0.00189084,-48.6747,9.7344,-0.0934974,0.423104,-0.451865,0.216389,-1.64653e-05,-0.00146006,-0.00260592,-48.7899,6.13657,-0.0708709,0.296198,-0.438122,0.228599,0.000706279,-0.00267096,-0.00317087,-48.739,2.70054,-0.0552304,0.182226,-0.426686,0.248176,0.0019729,-0.00436158,-0.00329646,-48.53,-0.739792,-0.0541874,0.0711119,-0.415174,0.263426,0.00388317,-0.0065631,-0.00282079,-48.6599,-4.19053,-0.0533186,-0.0389997,-0.381196,0.280978,0.00586482,-0.00863835,-0.000870302,-48.976,-6.67852,-0.0550889,-0.119092,-0.345274,0.291999,0.00653731,-0.00906865,0.00159634,46.8646,-10.1314,-0.0682061,0.464588,-0.0582817,0.21129,-0.00268111,0.00126763,-0.000239718,-48.5852,-11.4539,-0.0713046,-0.268382,-0.303089,0.320511,0.00892603,-0.010442,0.00545049,-48.918,-14.0825,-0.0734826,-0.341792,-0.279369,0.324045,0.00821538,-0.00923075,0.00929071
3,-48.0358,12.5065,-0.0979643,0.521649,-0.483206,0.199996,-0.000420039,-0.000777412,-0.00218784,-48.1625,9.7274,-0.0919223,0.422245,-0.473029,0.218279,-0.000103055,-0.00145098,-0.00297669,-48.2785,6.13327,-0.0688432,0.295859,-0.45862,0.230942,0.000726507,-0.00273719,-0.00363307,-48.2271,2.69993,-0.0532311,0.18255,-0.447344,0.2499,0.00210809,-0.00453932,-0.00384236,-48.0204,-0.742007,-0.0520493,0.0732302,-0.434616,0.267101,0.00414448,-0.00687752,-0.00350375,-48.149,-4.18736,-0.0501311,-0.0354708,-0.399212,0.28503,0.00635705,-0.00919982,-0.00175088,-48.4643,-6.68081,-0.0519875,-0.11588,-0.360343,0.296936,0.00739264,-0.00998837,0.000629308,46.3951,-10.1272,-0.0677335,0.465741,-0.0714142,0.21406,-0.0026449,0.00109235,-0.000443619,-48.071,-11.4574,-0.0664867,-0.26407,-0.311644,0.327617,0.0106059,-0.0121152,0.0041303,-48.4032,-14.0848,-0.0722308,-0.340159,-0.281363,0.333194,0.0103336,-0.0113493,0.00776399
4,-47.5234,12.5011,-0.0957555,0.521012,-0.504862,0.202284,-0.00055952,-0.000730287,-0.00249001,-47.6511,9.72041,-0.0919971,0.420725,-0.494468,0.218723,-0.000195563,-0.00143528,-0.00335291,-47.7677,6.12939,-0.0672128,0.295612,-0.479658,0.233712,0.000729503,-0.00279162,-0.00410317,-47.7157,2.69936,-0.0519616,0.183003,-0.46823,0.251382,0.0022269,-0.00470404,-0.00440141,-47.5106,-0.744206,-0.048849,0.0754225,-0.454376,0.270903,0.00439337,-0.00717339,-0.00420284,-47.6382,-4.18424,-0.0468376,-0.0319067,-0.417421,0.288993,0.00683354,-0.00973638,-0.00264827,-47.9527,-6.68341,-0.0483596,-0.112436,-0.376242,0.3018,0.00819787,-0.0108453,-0.00040876,45.925,-10.1236,-0.0693384,0.467006,-0.0843752,0.21686,-0.00255632,0.000883063,-0.000672014,-47.5579,-11.4608,-0.0641619,-0.258133,-0.320883,0.335195,0.0120681,-0.0135702,0.00259402,-47.8885,-14.0873,-0.0710503,-0.337803,-0.283293,0.342561,0.0123405,-0.0133568,0.00612162
5,-47.0107,12.4958,-0.0916794,0.520253,-0.526795,0.204673,-0.00070815,-0.000676601,-0.0027972,-47.1393,9.71361,-0.0902095,0.41915,-0.51634,0.219304,-0.00029969,-0.00141183,-0.00373366,-47.2566,6.1259,-0.0641892,0.295436,-0.501436,0.235818,0.000716142,-0.00283365,-0.00458114,-47.2039,2.69947,-0.0488185,0.183659,-0.489772,0.253309,0.00231686,-0.00484107,-0.00498631,-47.0003,-0.746367,-0.0434759,0.0777665,-0.474788,0.274964,0.00461691,-0.00743136,-0.00493504,-47.1277,-4.18137,-0.0433613,-0.0282401,-0.436231,0.29268,0.00726133,-0.0101951,-0.00360055,-47.4416,-6.68564,-0.0454363,-0.108081,-0.392771,0.30617,0.00892027,-0.0115959,-0.00153145,45.4546,-10.1191,-0.0720397,0.468281,-0.0973527,0.220046,-0.00242427,0.000637704,-0.000916145,-47.0453,-11.4642,-0.0628246,-0.251554,-0.330382,0.342968,0.0134454,-0.0149399,0.000972329,-47.3742,-14.0899,-0.0701472,-0.332539,-0.285339,0.353749,0.013991,-0.0149867,0.00417036
6,-46.4978,12.4906,-0.0869865,0.519453,-0.54882,0.207095,-0.000859832,-0.00062073,-0.00310606,-46.6273,9.70693,-0.0872838,0.417542,-0.538476,0.219968,-0.000410919,-0.00138366,-0.00411718,-46.7452,6.12276,-0.0599444,0.295324,-0.523862,0.237341,0.000688403,-0.00286477,-0.00506601,-46.6921,2.69976,-0.0451962,0.18438,-0.511517,0.255372,0.00239748,-0.00496908,-0.00557903,-46.49,-0.748725,-0.0373887,0.0797711,-0.495732,0.278412,0.00481353,-0.00765519,-0.00568594,-46.6173,-4.17861,-0.0394634,-0.0245661,-0.455652,0.295512,0.00765298,-0.0106024,-0.00457579,-46.9307,-6.68772,-0.0427829,-0.103378,-0.40954,0.310351,0.00961114,-0.0123061,-0.00268653,44.9839,-10.1139,-0.0755877,0.469565,-0.110345,0.22353,-0.00225866,0.000364517,-0.00117232,-46.5334,-11.4686,-0.0621431,-0.243159,-0.341359,0.350864,0.0144753,-0.0159677,-0.000842473,-46.8599,-14.0922,-0.0684372,-0.325463,-0.2882,0.365433,0.0154109,-0.0163883,0.00210765
7,-45.9853,12.4852,-0.0818077,0.518363,-0.570925,0.209545,-0.00102539,-0.000555744,-0.00342144,-46.1154,9.70056,-0.0837845,0.416362,-0.560948,0.221823,-0.000538906,-0.0013422,-0.00450852,-46.2348,6.12001,-0.0573201,0.295341,-0.546606,0.239301,0.000637485,-0.00287477,-0.00556148,-46.1818,2.69973,-0.0446114,0.185372,-0.533741,0.257666,0.00244121,-0.00505822,-0.00619365,-45.9798,-0.751258,-0.0307564,0.0815156,-0.517083,0.281392,0.00498958,-0.00785297,-0.0064511,-46.1069,-4.17596,-0.0350715,-0.0208849,-0.475759,0.29738,0.00800404,-0.0109519,-0.00557698,-46.4208,-6.68875,-0.0418507,-0.0980153,-0.429093,0.313168,0.0101732,-0.0128588,-0.00391993,44.5137,-10.1079,-0.0747518,0.471347,-0.123583,0.2266,-0.00202484,2.79822e-05,-0.00144227,-46.0215,-11.4731,-0.0612497,-0.234036,-0.353432,0.358565,0.0154115,-0.0169042,-0.00268654,-46.3454,-14.0942,-0.0657411,-0.316172,-0.292061,0.377716,0.0165488,-0.0175107,-9.10606e-05
8,-45.4733,12.4797,-0.0779962,0.517147,-0.593291,0.212019,-0.00119515,-0.000487475,-0.00373883,-45.6037,9.6944,-0.0803957,0.415279,-0.583583,0.22401,-0.000671457,-0.00129667,-0.00490224,-45.7246,6.11739,-0.0551622,0.295392,-0.569451,0.241406,0.00057933,-0.0028781,-0.00606016,-45.6715,2.69953,-0.0436805,0.186316,-0.556166,0.25982,0.00247604,-0.0051368,-0.00681217,-45.4741,-0.753721,-0.0366143,0.0831388,-0.539377,0.282255,0.00512777,-0.00799966,-0.0072347,-45.5981,-4.17319,-0.0343849,-0.0171948,-0.496681,0.298698,0.00829369,-0.01122,-0.00660037,-45.9111,-6.68994,-0.0412202,-0.092635,-0.449094,0.315614,0.0106987,-0.0133696,-0.00516577,44.0436,-10.1017,-0.0725131,0.473247,-0.136823,0.229588,-0.00176965,-0.000328689,-0.00171541,-45.5096,-11.4782,-0.059505,-0.222558,-0.369302,0.365531,0.0160524,-0.0175533,-0.00461017,-45.8304,-14.0956,-0.060476,-0.303927,-0.297439,0.388897,0.0173342,-0.0183066,-0.0023754
9,-44.9631,12.4743,-0.0782491,0.51555,-0.616435,0.214561,-0.00137744,-0.000409423,-0.0040623,-45.0929,9.68949,-0.0784575,0.414438,-0.607065,0.22735,-0.00081928,-0.0012358,-0.00530488,-45.2148,6.11451,-0.0530334,0.295311,-0.592741,0.244288,0.000497594,-0.00285706,-0.00656982,-45.1611,2.69889,-0.0418185,0.18713,-0.579135,0.261595,0.00248692,-0.00518682,-0.00744173,-44.9696,-0.756208,-0.0454576,0.0847481,-0.561942,0.282595,0.00525415,-0.00813098,-0.00802338,-45.0899,-4.17036,-0.0352195,-0.0135043,-0.517932,0.299793,0.00855811,-0.0114548,-0.00763227,-45.4021,-6.6919,-0.0415046,-0.0872739,-0.470425,0.316844,0.011104,-0.0137426,-0.00644785,43.5742,-10.0961,-0.0640329,0.475167,-0.149102,0.232823,-0.00142632,-0.000772441,-0.00199173,-44.9976,-11.4833,-0.0566374,-0.210884,-0.387089,0.370945,0.0165244,-0.0180335,-0.00653894,-45.3151,-14.0967,-0.0541345,-0.290455,-0.303434,0.399631,0.0179732,-0.0189669,-0.00469564
