,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.5713,12.5244,-0.0957713,0.845326,-0.62454,0.235396,-9.64194e-05,-0.00131639,-0.00204828,226,0
1,-49.059,12.5184,-0.096109,0.843403,-0.659513,0.237512,-0.000280506,-0.0012929,-0.00249056,226,0
2,-48.5477,12.5123,-0.0980864,0.841322,-0.695053,0.239228,-0.000479094,-0.00124535,-0.00295176,226,0
3,-48.0358,12.5065,-0.0979643,0.839316,-0.731098,0.241731,-0.000679972,-0.00118713,-0.00342237,226,0
4,-47.5234,12.5011,-0.0957555,0.837383,-0.767645,0.245015,-0.00088313,-0.00111829,-0.00390233,226,0
5,-47.0107,12.4958,-0.0916794,0.835247,-0.804496,0.248756,-0.00110108,-0.00103484,-0.00439127,226,0
6,-46.4978,12.4906,-0.0869865,0.833043,-0.841448,0.252648,-0.00132397,-0.000946521,-0.00488318,226,0
7,-45.9853,12.4852,-0.0818077,0.830543,-0.878415,0.256984,-0.00157052,-0.000839903,-0.0053865,226,0
8,-45.4733,12.4797,-0.0779962,0.8279,-0.915859,0.261351,-0.00182361,-0.000728139,-0.00589336,226,0
9,-44.9631,12.4743,-0.0782491,0.824833,-0.954729,0.265811,-0.00209618,-0.000601049,-0.00641087,226,0
10,-44.4532,12.4689,-0.0789472,0.821695,-0.993905,0.270212,-0.00238805,-0.000462571,-0.00693317,226,0
11,-43.9436,12.4636,-0.080088,0.818487,-1.03339,0.274554,-0.00269914,-0.000312743,-0.00746024,226,0
12,-43.4342,12.4582,-0.0805285,0.815061,-1.07385,0.278704,-0.0030263,-0.000151868,-0.0079789,226,0
13,-42.9247,12.4529,-0.0807341,0.811563,-1.11464,0.282789,-0.00335881,1.27012e-05,-0.00849473,226,0
14,-42.4142,12.447,-0.0765383,0.807691,-1.15627,0.287606,-0.00372009,0.000208618,-0.00902409,226,0
