,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
0,-49.5496,-0.737501,-0.0570428,0,0,0,-9.70818e-18,-1.70221e-17,3.70513e-18,0.0,4
1,-49.0397,-0.738611,-0.0556185,0,0,0,-1.12331e-17,-1.70606e-17,4.27759e-18,0.0,4
2,-48.53,-0.739792,-0.0541874,0,0,0,-1.26657e-17,-1.71771e-17,4.81394e-18,0.0,4
3,-48.0204,-0.742007,-0.0520493,0,0,0,-1.36072e-17,-1.70759e-17,4.87441e-18,0.0,4
4,-47.5106,-0.744206,-0.048849,0,0,0,-1.45725e-17,-1.68831e-17,4.93332e-18,0.0,4
5,-47.0003,-0.746367,-0.0434759,0,0,0,-1.55859e-17,-1.65022e-17,4.98907e-18,0.0,4
6,-46.49,-0.748725,-0.0373887,0,0,0,-1.65798e-17,-1.61668e-17,5.00926e-18,0.0,4
7,-45.9798,-0.751258,-0.0307564,0,0,0,-1.75586e-17,-1.58662e-17,5.00227e-18,0.0,4
8,-45.4741,-0.753721,-0.0366143,0,0,0,-1.81443e-17,-1.55307e-17,4.84635e-18,0.0,4
9,-44.9696,-0.756208,-0.0454576,0,0,0,-1.86352e-17,-1.51974e-17,4.65035e-18,0.0,4
10,-44.4652,-0.759537,-0.0538318,0,0,0,-1.91222e-17,-1.5091e-17,4.36596e-18,0.0,4
11,-43.9601,-0.762557,-0.0594109,0,0,0,-1.94824e-17,-1.49825e-17,4.06603e-18,0.0,4
12,-43.4528,-0.764789,-0.0579374,0,0,0,-1.95228e-17,-1.48685e-17,3.72703e-18,0.0,4
13,-42.944,-0.767133,-0.0511793,0,0,0,-1.9513e-17,-1.47337e-17,3.29139e-18,0.0,4
14,-42.4338,-0.769576,-0.0396041,0,0,0,-1.94571e-17,-1.45797e-17,2.76754e-18,0.0,4
15,-41.9243,-0.771293,-0.0291349,0,0,0,-1.90845e-17,-1.45541e-17,2.473e-18,0.0,4
16,-41.415,-0.772766,-0.0190133,0,0,0,-1.86124e-17,-1.45687e-17,2.24996e-18,0.0,4
17,-40.9081,-0.774288,-0.0147862,0,0,0,-1.76011e-17,-1.46937e-17,1.8179e-18,0.0,4
18,-40.4014,-0.775862,-0.0109129,0,0,0,-1.6706e-17,-1.47945e-17,1.38441e-18,0.0,4
19,-39.8955,-0.777603,-0.00817175,0,0,0,-1.618e-17,-1.48186e-17,9.46397e-19,0.0,4
20,-39.3897,-0.779505,-0.0055765,0,0,0,-1.52517e-17,-1.4882e-17,5.96614e-19,0.0,4
21,-38.8843,-0.781584,-0.00313888,0,0,0,-1.38854e-17,-1.4988e-17,3.42988e-19,0.0,4
22,-38.3792,-0.783992,-0.00089258,0,0,0,-1.29328e-17,-1.53163e-17,7.15859e-21,0.0,4
23,-37.8743,-0.78653,0.00127705,0,0,0,-1.2143e-17,-1.57323e-17,-3.60904e-19,0.0,4
24,-37.3704,-0.789542,0.00153668,0,0,0,-1.13678e-17,-1.60916e-17,-7.02541e-19,0.0,4
25,-36.8667,-0.792557,0.00129512,0,0,0,-1.05894e-17,-1.63993e-17,-1.0146e-18,0.0,4
26,-36.364,-0.795485,-0.000648066,0,0,0,-9.79517e-18,-1.65043e-17,-1.21029e-18,0.0,4
27,-35.861,-0.797985,-0.00156979,0,0,0,-9.03311e-18,-1.65374e-17,-1.21472e-18,0.0,4
28,-35.3579,-0.799961,-0.00116372,0,0,0,-8.313e-18,-1.64768e-17,-9.70207e-19,0.0,4
29,-34.8548,-0.801729,1.22559e-06,0,0,0,-7.63243e-18,-1.66426e-17,-9.81075e-19,0.0,4
30,-34.3517,-0.803397,0.00153181,0,0,0,-6.97097e-18,-1.69183e-17,-1.11574e-18,0.0,4
31,-33.8488,-0.805192,0.00370062,0,0,0,-6.45784e-18,-1.68381e-17,-1.20926e-18,0.0,4
32,-33.346,-0.807019,0.00580665,0,0,0,-5.98507e-18,-1.66361e-17,-1.27153e-18,0.0,4
33,-32.8438,-0.808962,0.0072269,0,0,0,-5.65936e-18,-1.59421e-17,-1.18112e-18,0.0,4
34,-32.3419,-0.811214,0.0083212,0,0,0,-5.63243e-18,-1.54064e-17,-1.0019e-18,0.0,4
35,-31.8403,-0.813949,0.0089071,0,0,0,-6.07223e-18,-1.51178e-17,-6.84099e-19,0.0,4
36,-31.3388,-0.816639,0.0103441,0,0,0,-6.30441e-18,-1.45408e-17,-5.6749e-19,0.0,4
37,-30.8372,-0.819289,0.012282,0,0,0,-6.41429e-18,-1.37939e-17,-5.69332e-19,0.0,4
38,-30.3355,-0.821725,0.0158157,0,0,0,-6.63463e-18,-1.37792e-17,-5.63456e-19,0.0,4
39,-29.8339,-0.824033,0.0195013,0,0,0,-6.90643e-18,-1.38158e-17,-5.42218e-19,0.0,4
40,-29.3328,-0.825575,0.0224242,0,0,0,-7.46801e-18,-1.33557e-17,-4.0322e-19,0.0,4
41,-28.8322,-0.827084,0.0246329,0,0,0,-8.00996e-18,-1.29982e-17,-3.36859e-19,0.0,4
42,-28.3321,-0.828531,0.0254936,0,0,0,-8.51476e-18,-1.28348e-17,-4.07711e-19,0.0,4
43,-27.8324,-0.83024,0.0264298,0,0,0,-9.00083e-18,-1.266e-17,-3.04561e-19,0.0,4
44,-27.3327,-0.832136,0.0274191,0,0,0,-9.47372e-18,-1.24769e-17,-7.80566e-20,0.0,4
45,-26.8333,-0.834615,0.0287446,0,0,0,-9.90519e-18,-1.25309e-17,-5.32929e-20,0.0,4
46,-26.334,-0.837221,0.0301736,0,0,0,-1.03926e-17,-1.26504e-17,-6.67067e-20,0.0,4
