Line,file_id,level_0,Index [1],X [mm]
L0,spk-00000000_0,0,0,
L1,spk-00000000_0,0,,-49.701
L2,spk-00000000_0,0,,-49.8137
L3,spk-00000000_0,0,,-49.7642
L4,spk-00000000_0,0,,-49.5496
L5,spk-00000000_0,0,,-49.6803
L6,spk-00000000_0,0,,-49.9989
L7,spk-00000000_0,0,,47.8027
L8,spk-00000000_0,0,,-49.6126
L9,spk-00000000_0,0,,-49.9487
L0,spk-00000000_0,1,1,
L1,spk-00000000_0,1,,-49.1875
L2,spk-00000000_0,1,,-49.3014
L3,spk-00000000_0,1,,-49.2514
L4,spk-00000000_0,1,,-49.0397
L5,spk-00000000_0,1,,-49.17
L6,spk-00000000_0,1,,-49.4877
L7,spk-00000000_0,1,,47.3338
L8,spk-00000000_0,1,,-49.0991
L9,spk-00000000_0,1,,-49.4333
L0,spk-00000000_0,2,2,
L1,spk-00000000_0,2,,-48.6747
L2,spk-00000000_0,2,,-48.7899
L3,spk-00000000_0,2,,-48.739
L4,spk-00000000_0,2,,-48.53
L5,spk-00000000_0,2,,-48.6599
L6,spk-00000000_0,2,,-48.976
L7,spk-00000000_0,2,,46.8646
L8,spk-00000000_0,2,,-48.5852
L9,spk-00000000_0,2,,-48.918
L0,spk-00000000_0,3,3,
L1,spk-00000000_0,3,,-48.1625
L2,spk-00000000_0,3,,-48.2785
L3,spk-00000000_0,3,,-48.2271
L4,spk-00000000_0,3,,-48.0204
L5,spk-00000000_0,3,,-48.149
L6,spk-00000000_0,3,,-48.4643
L7,spk-00000000_0,3,,46.3951
L8,spk-00000000_0,3,,-48.071
L9,spk-00000000_0,3,,-48.4032
L0,spk-00000000_0,4,4,
L1,spk-00000000_0,4,,-47.6511
L2,spk-00000000_0,4,,-47.7677
L3,spk-00000000_0,4,,-47.7157
L4,spk-00000000_0,4,,-47.5106
L5,spk-00000000_0,4,,-47.6382
L6,spk-00000000_0,4,,-47.9527
L7,spk-00000000_0,4,,45.925
L8,spk-00000000_0,4,,-47.5579
L9,spk-00000000_0,4,,-47.8885
